gender,email,phone,cell,nat,name.title,name.first,name.last,location.street,location.city,location.state,location.country,location.postcode,location.coordinates,location.timezone,login.uuid,login.username,login.password,login.salt,login.md5,login.sha1,login.sha256,dob.date,dob.age,registered.date,registered.age,id.name,id.value,picture.large,picture.medium,picture.thumbnail
female,wendy.garica@example.com,(683) 018 6388,(618) 416 1943,MX,Miss,Wendy,Garica,"{'number': 5562, 'name': 'Viaducto Querétaro'}",Ixtlahuaca,Hidalgo,Mexico,21034,"{'latitude': '29.3929', 'longitude': '91.9301'}","{'offset': '+9:00', 'description': 'Tokyo, Seoul, Osaka, Sapporo, Yakutsk'}",f53e8f66-1447-4dc9-a8a2-7decde402da5,blackladybug871,nathan1,rpE2XL6F,a4dee13f66cfc8212acda6fbf9f9a02b,37de2b694541034b199c4e087eadfe4664ed8854,fed98b157e78b4ac8d58dcbb344b52ccb8dc215c497821ef615b18550149e2f3,1997-03-27T06:42:52.879Z,27,2018-02-16T21:57:31.510Z,7,NSS,09 25 84 3537 0,https://randomuser.me/api/portraits/women/83.jpg,https://randomuser.me/api/portraits/med/women/83.jpg,https://randomuser.me/api/portraits/thumb/women/83.jpg
female,angelina.stojkovic@example.com,016-5967-057,062-9981-496,RS,Ms,Angelina,Stojković,"{'number': 2021, 'name': 'Tomaška'}",Alibunar,Zaječar,Serbia,10120,"{'latitude': '58.9688', 'longitude': '44.1551'}","{'offset': '-1:00', 'description': 'Azores, Cape Verde Islands'}",1cd63d0f-0e08-466b-8e35-02bcf4a9fac0,goldenbear259,camila,5bHzxSb3,9656469e221b8b31f1ddcdaab4befd10,38cf0c555d44c5a02333a5168524ed355a20a694,117233b61cfb5a1f420a9343078e4e47fae1826bb7c4d6d09041dfff04952c2a,1985-03-08T16:35:46.114Z,39,2018-04-28T08:13:24.856Z,6,SID,987278831,https://randomuser.me/api/portraits/women/91.jpg,https://randomuser.me/api/portraits/med/women/91.jpg,https://randomuser.me/api/portraits/thumb/women/91.jpg
male,karsten.diedrich@example.com,0111-7672126,0176-6158664,DE,Mr,Karsten,Diedrich,"{'number': 5548, 'name': 'Feldstraße'}",Duisburg,Sachsen-Anhalt,Germany,73259,"{'latitude': '-52.5350', 'longitude': '-82.0865'}","{'offset': '+4:00', 'description': 'Abu Dhabi, Muscat, Baku, Tbilisi'}",92a843db-00a3-48cd-a22e-4e1c321bab41,blackswan350,bigal,ddNoGWYN,6d75aee3cfc213d34bd3287c248ebc92,f18bedac5c7861b8cf4a360014afee0615ccd47e,87adea04094ef3c4097a12d131e1aab8fce65432b1e6b5299a8101d83ebf45ce,1995-01-16T18:21:09.466Z,30,2003-07-03T02:08:50.027Z,21,SVNR,47 160195 D 355,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg
female,nora.laurent@example.com,076 663 06 58,075 955 79 89,CH,Mademoiselle,Nora,Laurent,"{'number': 6217, 'name': 'Rue de la Baleine'}",Göschenen,Schaffhausen,Switzerland,8232,"{'latitude': '-60.3517', 'longitude': '4.6334'}","{'offset': '-3:00', 'description': 'Brazil, Buenos Aires, Georgetown'}",c7459a59-da6c-4778-9bc6-5462f2c39960,greengoose358,scandinavian,PAVCDHwS,62a0a55e3faa16edb3218c5b6ac71e27,f8d736891d1e95e9c06285aacd244d11122324d3,98cd0676ae43b8b6ad435b79d774e031aa773b62bfcbb191df1d3e6cf709dc9f,1968-11-17T02:40:11.812Z,56,2005-10-14T13:40:45.362Z,19,AVS,756.0985.4037.85,https://randomuser.me/api/portraits/women/94.jpg,https://randomuser.me/api/portraits/med/women/94.jpg,https://randomuser.me/api/portraits/thumb/women/94.jpg
female,emma.chavez@example.com,(525) 440-5350,(372) 689-6114,US,Ms,Emma,Chavez,"{'number': 1448, 'name': 'Walnut Hill Ln'}",Tallahassee,West Virginia,United States,77051,"{'latitude': '82.8976', 'longitude': '131.4510'}","{'offset': '+6:00', 'description': 'Almaty, Dhaka, Colombo'}",42ec2eef-b2ca-4bfa-8563-167797484708,browncat450,goofy,jXPR9Oat,5b2e00a8eb030d62d8d47e5539b18eb2,ee085493929012d3ef92466e7d223eb64fe4b91d,9a0f7fd93007e8e225385d100e841cb1de902c5f866164814ce6b1e9ae6d4f26,1971-03-09T17:27:54.560Z,53,2011-09-25T12:45:04.271Z,13,SSN,116-16-9571,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg
male,bahattin.riemersma@example.com,(0328) 846807,(06) 74450483,NL,Mr,Bahattin,Riemersma,"{'number': 8128, 'name': 'Brededijk'}",Westvoorne,Zuid-Holland,Netherlands,6524 YK,"{'latitude': '37.8931', 'longitude': '-159.8625'}","{'offset': '-10:00', 'description': 'Hawaii'}",191d3ee9-694f-4365-b063-7d4b8ae5f917,greenelephant544,1234qwer,xLs9oywS,c04dfcdf1cfd3b2efbc3e98968f1e3f3,4e4447683c6f4448788c1605dc959bd98e078c76,3f857bae7356d43f48e5ee23d3820c2ce710e5d3051400df120eb938bddeda2e,1994-04-20T15:08:40.226Z,30,2007-06-01T08:58:06.779Z,17,BSN,55612063,https://randomuser.me/api/portraits/men/72.jpg,https://randomuser.me/api/portraits/med/men/72.jpg,https://randomuser.me/api/portraits/thumb/men/72.jpg
male,guilhermino.santos@example.com,(55) 9733-1626,(69) 0622-7449,BR,Mr,Guilhermino,Santos,"{'number': 1146, 'name': 'Rua Pará '}",Jacareí,Minas Gerais,Brazil,97985,"{'latitude': '-75.7252', 'longitude': '-62.9258'}","{'offset': '-1:00', 'description': 'Azores, Cape Verde Islands'}",7e61777f-98f3-46e6-97b2-db3e98eb662a,sadcat853,howdy,LH8nA4xv,08e9fbb1e5df5e5271d2cd26da9aa3fd,31c5311796e4395776e04ebf0b47f8275c50a030,afe2ef6ccba201bcb9d2ab87b4e3b00c3a37a20545b0990e5fa06b63379f09fe,1984-04-13T09:24:16.227Z,40,2006-09-09T20:16:58.517Z,18,CPF,611.349.939-34,https://randomuser.me/api/portraits/men/88.jpg,https://randomuser.me/api/portraits/med/men/88.jpg,https://randomuser.me/api/portraits/thumb/men/88.jpg
female,severine.lucas@example.com,076 179 27 62,077 825 06 53,CH,Madame,Séverine,Lucas,"{'number': 293, 'name': 'Avenue Debrousse'}",Bitsch,Vaud,Switzerland,9036,"{'latitude': '-60.6098', 'longitude': '162.8795'}","{'offset': '-3:30', 'description': 'Newfoundland'}",d9c4001e-0090-4862-a422-38802ee62bf4,blackduck581,because,dJbGxjyq,c364f1091dc46c5f8dc91f839119a14c,a5e6281551f73fa8e43b72155564f2290dafe5b1,10ef013de72039ca01bb29952fe5e6085a763bce6e861e882209ccec8260f33d,1974-12-30T22:25:06.333Z,50,2003-04-03T12:30:44.582Z,21,AVS,756.7945.2711.33,https://randomuser.me/api/portraits/women/16.jpg,https://randomuser.me/api/portraits/med/women/16.jpg,https://randomuser.me/api/portraits/thumb/women/16.jpg
female,taahira.saldanha@example.com,7989409211,9952857945,IN,Mrs,Taahira,Saldanha,"{'number': 7495, 'name': 'Racecource Rd'}",Kozhikode,Dadra and Nagar Haveli,India,55033,"{'latitude': '5.9316', 'longitude': '57.6269'}","{'offset': '0:00', 'description': 'Western Europe Time, London, Lisbon, Casablanca'}",ec96ba83-8ad6-4d0b-8f36-1bae01ecf71e,happybutterfly772,california,NYyZcTG9,30516556b41d60c349b10cfa9d7c9552,9b4e5f874d4f0af3602c4d21d38954747a243160,4bbb09078e09145f27fdcb7fe91afe0e9a5f6b48fc902d872e8061560e839cd7,1980-12-30T02:40:47.178Z,44,2020-06-12T15:28:54.044Z,4,UIDAI,961589005967,https://randomuser.me/api/portraits/women/0.jpg,https://randomuser.me/api/portraits/med/women/0.jpg,https://randomuser.me/api/portraits/thumb/women/0.jpg
female,carmen.sanders@example.com,01-5339-2330,0439-249-885,AU,Ms,Carmen,Sanders,"{'number': 6831, 'name': 'Mockingbird Hill'}",Dubbo,Victoria,Australia,5282,"{'latitude': '-89.5734', 'longitude': '128.4419'}","{'offset': '+5:45', 'description': 'Kathmandu'}",2deca85c-b38c-4d4c-91fd-06f171865e45,smallbird441,woodie,oIU1qV2f,3b5b0a696412d2c4e9198ee8b553294b,670c033d76f1773af45bd1d7fd2bbc2e82499a76,167ebba6914fd69e0efcccafc4d36a49346f60dd95075d28e998136c45aa075c,2000-01-27T02:58:27.853Z,25,2003-10-01T12:50:30.304Z,21,TFN,134442465,https://randomuser.me/api/portraits/women/47.jpg,https://randomuser.me/api/portraits/med/women/47.jpg,https://randomuser.me/api/portraits/thumb/women/47.jpg
